NewsTitle,NewsDate,Region,Province,Department,Link_News
บรรดาบริษัทผู้ผลิตยาและผู้นำกลุ่มจี 20 ให้คำมั่นว่าจะแบ่งปันวัคซีนโควิด-19 ให้ประเทศยากจน,22/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210522010155617
"จังหวัดสตูล มีผู้เข้ารับการฉีดวัคซีนป้องกัน COVID-19 แล้วกว่า 10,000 คน บุคลากรทางการแพทย์รับการฉีดวัคซีนเข็มที่ 1 แล้วเกือบ 5,000 คน",22/5/2021,ภาคใต้,สตูล,สวท.สตูล,https://thainews.prd.go.th/th/news/detail/TCATG210522143651756
จ.ยะลา พร้อมเปิด 9 จุด ฉีดวัคซีนโควิด-19 ดีเดย์ 7 มิ.ย. พร้อมกัน ขณะยอดจองแล้วกว่าหนึ่งหมื่นห้าพันคน,23/5/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG210523005134857
ตำรวจฟิลิปปินส์เร่งจับกุมผู้ที่ลักลอบขายคิวฉีดวัคซีนโควิด-19,23/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210523143927961
เกาหลีใต้เตรียมทดลองกระบวนการฉีดวัคซีนโควิด-19 แบบผสม แก้ไขปัญหาการขาดแคลนวัคซีน,23/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210523143921959
อังกฤษระบุวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค และแอสตราเซเนกรา มีประสิทธิผลในการป้องกันเชื้อโควิด-19 ชนิดกลายพันธุ์,23/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210523203443049
สหรัฐเร่งตรวจสอบหลังพบการเกิดอาการกล้ามเนื้อหัวใจอักเสบในผู้ฉีดวัคซีนโควิด-19วัยหนุ่มสาวและเยวชน,24/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210524140046218
อิสราเอล เตรียมยกเลิกมาตรการควบคุมการแพร่ระบาดโรคโควิด-19 หลังกระบวนการฉีดวัคซีน ประสบผลสำเร็จ,24/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210524113654135
สหรัฐเร่งตรวจสอบหลังพบการเกิดอาการกล้ามเนื้อหัวใจอักเสบในผู้ฉีดวัคซีนโควิด-19 วัยหนุ่มสาวและเยาวชน,24/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210524172021388
สำนักงานประชาสัมพันธ์จ.สุพรรณบุรี จัดการประชุมคณะอนุกรรมการประชาสัมพันธ์แห่งชาติ ระดับจังหวัด ครั้งที่ 1/2564  สร้างความเชื่อมั่นความปลอดภัยในการฉีดวัคซีน และได้ฉีดวัคซีนแน่นอน,25/5/2021,ภาคตะวันตก,กาญจนบุรี,สำนักงานประชาสัมพันธ์จังหวัดสุพรรณบุรี,https://thainews.prd.go.th/th/news/detail/TCATG210525124335585
