NewsTitle,NewsDate,Region,Province,Department,Link_News
จังหวัดตรัง เตรียมความพร้อมการฉีดวัคซีนป้องกันโรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) ให้กับนักเรียนอายุ 12 -18  ปี ในพื้นที่,3/10/2021,ภาคใต้,ตรัง,สวท.ตรัง,https://thainews.prd.go.th/th/news/detail/TCATG211003164327644
ดีเดย์ 4 ต.ค. นี้ ฉีดวัคซีนเด็กนักเรียนเยาวชน 29 จังหวัดสีแดงเข้ม โดยนายกรัฐมนตรีจะร่วมพิธี Kick off สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ,3/10/2021,ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,สวท.อำนาจเจริญ,https://thainews.prd.go.th/th/news/detail/TCATG211003174652678
Kick off ฉีดวัคซีนให้เด็กนักเรียน เพื่อความปลอดภัย รองรับเปิดภาคเรียน 1 พฤศจิกายนนี้,4/10/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG211004104104786
เร่งฉีดวัคซีน เข็ม 2 ให้ผู้สูงอายุยะลา  ขณะคืบหน้าไฟเซอร์นักเรียน คาดเริ่มพรุ่งนี้วันแรก,4/10/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG211004094529761
นายกรัฐมนตรี ยืนยันฉีดวัคซีนให้นักเรียน ยึดความปลอดภัยเป็นหลัก มุ่งหวังลดการติดเชื้อในอนาคต,4/10/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG211004105813795
ศึกษาธิการ จ.นราธิวาส ตรวจความพร้อมสถานที่ฉีดวัคซีนไฟเซอร์ของนักเรียน โรงเรียนนราสิกขาลัย เริ่มฉีดช่วงบ่ายวันนี้ (4 ต.ค.64),4/10/2021,ภาคใต้,นราธิวาส,สวท.นราธิวาส,https://thainews.prd.go.th/th/news/detail/TCATG211004101731776
"จังหวัดพะเยา ฉีดวัคซีนไฟเซอร์นักเรียนวันแรก  ยอดรวมที่ประสงค์ฉีดวัคซีนทั้งหมด ณ ขณะนี้กว่า 10,000 ราย",4/10/2021,ภาคเหนือ,พะเยา,สำนักงานประชาสัมพันธ์จังหวัดพะเยา,https://thainews.prd.go.th/th/news/detail/TCATG211004101439775
เขตสุขภาพที่ 3 Kick Off ฉีดวัคซีน Pfizer ให้นักเรียน นักศึกษา อายุ 12-18 ปี พร้อมกัน ทั่วประเทศ “สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม”,4/10/2021,ภาคกลางและปริมณฑล,นครสวรรค์,สำนักงานประชาสัมพันธ์จังหวัดนครสวรรค์,https://thainews.prd.go.th/th/news/detail/TCATG211004110028798
สนง.ศึกษาธิการจังหวัดยโสธร แจ้งแผนการฉีดวัคซีนไฟเซอร์ให้นักเรียน นักศึกษา ในสัปดาห์ที่ 1-2 เดือนตุลาคม 2564,4/10/2021,ภาคตะวันออกเฉียงเหนือ,ยโสธร,สำนักงานประชาสัมพันธ์จังหวัดยโสธร,https://thainews.prd.go.th/th/news/detail/TCATG211004105733794
"จังหวัดพิษโลก Kick off  ฉีดวัคซีน ""ไฟเซอร์"" ให้กับนักเรียนอายุ 12-18 ปี เพื่อเตรียมความพร้อมก่อนเปิดภาคเรียนในเดือนพฤศจิกายน นี้",4/10/2021,ภาคเหนือ,พิษณุโลก,สวท.พิษณุโลก,https://thainews.prd.go.th/th/news/detail/TCATG211004110238800
"โรงเรียนราชประชานุเคราะห์ 42 สตูล คิกอ๊อฟฉีดวัคซีนป้องกัน COVID-19 เข็มแรกให้นักเรียนแล้ว 458 ราย ขณะที่จังหวัดสตูลมีนักเรียนประสงค์ฉีดวัคซีนทั้งจังหวัดมากกว่า 20,600 ราย",4/10/2021,ภาคใต้,สตูล,สวท.สตูล,https://thainews.prd.go.th/th/news/detail/TCATG211004111416806
จ.ขอนแก่น เปิด Kick Off การฉีดวัคซีนสร้างเกราะป้องกันโควิด-19 ให้กับเด็กนักเรียน 12-18 ปี เพื่อให้เปิดเรียนได้อย่างมั่นใจ,4/10/2021,ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,สวท.ขอนแก่น,https://thainews.prd.go.th/th/news/detail/TCATG211004115740820
จังหวัดกำแพงเพชร คิกออฟฉีดไฟเซอร์นักเรียน 300 คน สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม,4/10/2021,ภาคกลางและปริมณฑล,กำแพงเพชร,สวท.กำแพงเพชร,https://thainews.prd.go.th/th/news/detail/TCATG211004121006832
