NewsTitle,NewsDate,Region,Province,Department,Link_News
จังหวัดปัตตานีประชุมคณะกรรมการโรคติดต่อจังหวัดปัตตานี หลังยอดผู้ติดเชื้อพุ่ง,27/9/2021,ภาคใต้,ปัตตานี,สวท.ปัตตานี,https://thainews.prd.go.th/th/news/detail/TCATG210927184457827
นักเรียน โรงเรียนคณะราษฎรบำรุง จ.ยะลา ร้อยละ 82.84% ขอรับการฉีด ไฟเซอร์ หลังผู้ปกครองยินยอม,28/9/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG210928080343918
อาชีวศึกษาผดุงประชายะลา เตรียมความพร้อมเปิดเรียนแบบ On-site,28/9/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG210928080533919
ผู้นำสหรัฐฯ เข้ารับการฉีดวัคซีนโควิด-19 เข็มที่ 3 หลังศูนย์ควบคุมและป้องกันโรคของสหรัฐฯ อนุมัติการฉีดวัคซีนเข็มกระตุ้น,28/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210928072324911
เกาหลีใต้เตรียมฉีดวัคซีนโควิด-19 ให้หญิงตั้งครรภ์ และเด็กอายุ ระหว่าง 12 -17 ปี,28/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210928122406110
4 แนวทางการจัดหาวัคซีนโควิด-19 ของไทย ตามแผนกว่า 126 ล้านโดสในปลายปีนี้,28/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210928110920056
คณะกรรมการโรคติดต่อจังหวัดสงขลา เตรียมขยายเวลาห้ามเข้าพื้นที่เสี่ยง 1 ตุลาคม 2564,28/9/2021,ภาคใต้,สงขลา,สำนักงานประชาสัมพันธ์จังหวัดสงขลา,https://thainews.prd.go.th/th/news/detail/TCATG210928152213197
ประมวลข่าวทั่วไทยประจำวันที่ 28 กันยายน 2564,28/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210928164043261
จังหวัดสงขลาเตรียมฉีดวัคซีนให้นักเรียน นักศึกษา พร้อมขยายเวลาห้ามเข้าพื้นที่เสี่ยงถึง 14 ตุลาคม 2564,28/9/2021,ภาคใต้,สงขลา,สวท.สงขลา,https://thainews.prd.go.th/th/news/detail/TCATG210928182411311
สถานการณ์โควิด-19 จังหวัดสระบุรี เริ่มดีขึ้นจำนวนผู้ป่วยรายใหม่ลดลง,28/9/2021,ภาคกลางและปริมณฑล,สระบุรี,สำนักงานประชาสัมพันธ์จังหวัดสระบุรี,https://thainews.prd.go.th/th/news/detail/TCATG210928185947322
"สถานการณ์การแพร่ระบาดโรคโควิด-19 ของเกาหลีใต้ ยังคงน่ากังวล หลังพบผู้ติดเชื้อรายใหม่ มากกว่า 2,000 คน ติดต่อกัน เป็นวันที่ 3",28/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210928200743351
ระนองเตรียมฉีดวัคซีนไฟเซอร์แก่นักเรียนนักศึกษากลุ่มอายุ 12-18 ปี ต.ค.64 คาดใช้เวลาฉีด 3-4 วัน,28/9/2021,ภาคใต้,ระนอง,สวท.ระนอง,https://thainews.prd.go.th/th/news/detail/TCATG210928213020367
คณะกรรมการโรคติดต่ออยุธยา เตรียมปรับมาตรการตาม ศบค. สำหรับกิจกรรมและกิจการในพื้นที่ เริ่ม 1 ต.ค. 64 และเตรียมความพร้อมฉีดวัคซีน Pfizer ให้แก่นักเรียน อายุ 12-18 ปี ก่อนเปิดเรียนภาคที่ 2/2564,28/9/2021,ภาคกลางและปริมณฑล,พระนครศรีอยุธยา,สำนักงานประชาสัมพันธ์จังหวัดพระนครศรีอยุธยา,https://thainews.prd.go.th/th/news/detail/TCATG210928234617397
"จ.ระนอง เตรียมฉีดวัคซีนไฟเซอร์แก่นักเรียนนักศึกษากลุ่มอายุ 12-18 ปี ที่แจ้งความประสงค์รับวัคซีน 11,414 คน หรือร้อยละ 80.95 ในเดือน ต.ค.64",29/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สวท.ระนอง,https://thainews.prd.go.th/th/news/detail/TCATG210929163309680
บริษัทไฟเซอร์และไบโอเอ็นเทคระบุว่า ได้เริ่มยื่นข้อมูลต่อสำนักงานอาหารและยาสหรัฐ เพื่อขออนุมัติฉีดวัคซีนโควิด-19 ให้แก่เด็กอายุ 5-11 ปีแล้ว,29/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210929060657401
