NewsTitle,NewsDate,Region,Province,Department,Link_News
วัคซีน ไฟเซอร์  อย.อนุมัติแล้ว,25/6/2021,ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,สวท.อำนาจเจริญ,https://thainews.prd.go.th/th/news/detail/TCATG210625092522986
สิงคโปร์เตรียมขยายโครงการฉีดวัคซีนโควิด-19 ให้ประชาชนอายุตั้งแต่ 12 ปีขึ้น โดยจะเริ่มในต้นเดือนหน้า,25/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210625195157336
ยืนยันเร่งฉีดวัคซีนกลุ่มผู้สูงอายุ และ 7 กลุ่มโรคเสี่ยง ภายในสิงหาคมนี้ พร้อมเร่งเจรจาจัดหาวัคซีนอื่นๆ เพิ่มเติม,25/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210625192536316
สำนักงานอาหารและยาสหรัฐเพิ่มคำเตือนเกี่ยวกับการเกิดภาวะกล้ามเนื้อหัวใจอักเสบจากการฉีดวัคซีนโควิด-19 ของบริษัทไฟเซอร์และโมเดอร์นา,26/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210626094303374
ขอประชาชนให้ความมั่นใจสามารถเปิดการท่องเที่ยวภูเก็ตแซนด์บ็อกได้ มุ่งหวังกระจายรายได้ในทุกพื้นที่,26/6/2021,ภาคกลางและปริมณฑล,สุพรรณบุรี,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210626111404395
กระทรวงการต่างประเทศ ยืนยัน ประเทศฝรั่งเศส ไม่ได้ห้ามบุคคลที่ฉีดวัคซีนของจีนเดินทางเข้าประเทศ ,26/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210626203849550
จำนวนผู้ติดเชื้อโควิด-19 รายวันในอินโดนีเซียและเวียดนามทำสถิติสูงสุดเป็นประวัติการณ์ ท่ามกลางการระบาดต่อเนื่อง,27/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210627075009564
ปชส.สุราษฎร์ธานี เผย นายกรัฐมนตรีประกาศเป้าหมายเตรียมเปิดประเทศใน 120 วัน หวังพลิกฟื้นเศรษฐกิจ สู้โควิด-19,27/6/2021,ภาคใต้,สุราษฎร์ธานี,สำนักงานประชาสัมพันธ์จังหวัดสุราษฎร์ธานี,https://thainews.prd.go.th/th/news/detail/TCATG210627091552578
ผลการวิจัยในอังกฤษชี้ว่า การใช้วัคซีนโควิด-19 ของแอสตราเซเนการ่วมกับไฟเซอร์จะช่วยสร้างภูมิคุ้มกันได้ดีขึ้น,29/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210629192821569
ผลการวิจัยในอังกฤษชี้ว่า การใช้วัคซีนโควิด-19 ของแอสตราเซเนการ่วมกับไฟเซอร์จะช่วยสร้างภูมิคุ้มกันได้ดีขึ้น,30/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210630053540619
อินเดียอนุมัติวัคซีนโควิด-19 ของบริษัทโมเดอร์นา เพื่อใช้ในกรณีฉุกเฉินแล้ว,30/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210630053601620
นายกรัฐมนตรี ชื่นชมการพัฒนาวัคซีนโควิด-19 ของไทย ก้าวหน้าไปมาก,30/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210630112026706
"อิสราเอลเตรียมทำลายวัคซีนโควิด-19 กว่า 800,000 โดส ที่จะหมดอายุในช่วงปลายเดือนกรกฎาคม นี้",30/6/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210702100441482
